scenario_id,target_NH3_t_per_day,on_hours,on_hour_list,E_wind_MWh,E_pv_MWh,E_re_MWh,E_buy_MWh,E_sell_MWh,E_self_MWh,E_total_MWh,E_use_MWh,E_load_MWh,E_alk_MWh,E_pem_MWh,E_nh3_MWh,self_use_ratio,green_ratio,green_internal_use_ratio,sell_ratio,daily_cost_yuan,daily_nh3_fixed_capex_yuan,daily_sell_revenue_yuan,daily_net_cost_yuan,unit_cost_yuan_per_t,device_utilization,indicator_class
W1_P1,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,252.324,509.44,761.764,430.28,135.324,626.44,1192.044,1056.72,60.72,480.0,480.0,36.0,0.822354,0.525518,0.592816,0.177646,442150.593333,3333.333333,51138.9396,391011.653733,5430.717413,1.0,all_satisfied
W1_P1,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,252.324,509.44,761.764,326.6262,156.1702,605.5938,1088.3902,932.22,60.72,420.0,420.0,31.5,0.794989,0.556412,0.649625,0.205011,343969.784213,3333.333333,59016.71858,284953.065633,4523.064534,0.875,partly_satisfied
W1_P1,54.0,18,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 23,252.324,509.44,761.764,235.0722,189.1162,572.6478,996.8362,807.72,60.72,360.0,360.0,27.0,0.751739,0.574465,0.708968,0.248261,273350.884613,3333.333333,71467.01198,201883.872633,3738.590234,0.75,partly_satisfied
W1_P1,45.0,15,0 1 2 3 4 5 6 7 8 9 10 11 12 14 23,252.324,509.44,761.764,233.2102,311.7542,450.0098,994.9742,683.22,60.72,300.0,300.0,22.5,0.590747,0.452283,0.65866,0.409253,257210.905813,3333.333333,117811.91218,139398.993633,3097.755414,0.625,partly_satisfied
W1_P1,36.0,12,0 1 2 3 4 5 6 7 8 10 14 23,252.324,509.44,761.764,233.2102,436.2542,325.5098,994.9742,558.72,60.72,240.0,240.0,18.0,0.427311,0.327154,0.582599,0.572689,242201.905813,3333.333333,164860.46218,77341.443633,2148.373434,0.5,partly_satisfied
W1_P2,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,252.324,250.88,503.204,560.9662,7.4502,495.7538,1064.1702,1056.72,60.72,480.0,480.0,36.0,0.985194,0.46586,0.469144,0.014806,492653.361213,3333.333333,2815.43058,489837.930633,6803.304592,1.0,all_satisfied
W1_P2,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,252.324,250.88,503.204,448.9924,19.9764,483.2276,952.1964,932.22,60.72,420.0,420.0,31.5,0.960302,0.507487,0.518362,0.039698,387796.584093,3333.333333,7549.08156,380247.502533,6035.674643,0.875,all_satisfied
W1_P2,54.0,18,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 23,252.324,250.88,503.204,342.7184,38.2024,465.0016,845.9224,807.72,60.72,360.0,360.0,27.0,0.924082,0.549698,0.575697,0.075918,308236.756493,3333.333333,14436.68696,293800.069533,5440.742028,0.75,all_satisfied
W1_P2,45.0,15,0 1 2 3 4 5 6 9 11 12 13 14 15 16 23,252.324,250.88,503.204,298.3182,118.3022,384.9018,801.5222,683.22,60.72,300.0,300.0,22.5,0.764902,0.480214,0.563364,0.235098,264551.616013,3333.333333,44706.40138,219845.214633,4885.449214,0.625,partly_satisfied
W1_P2,36.0,12,0 1 2 3 4 5 6 11 12 13 15 23,252.324,250.88,503.204,262.5022,206.9862,296.2178,765.7062,558.72,60.72,240.0,240.0,18.0,0.588663,0.386856,0.530172,0.411337,226535.687613,3333.333333,78220.08498,148315.602633,4119.877851,0.5,partly_satisfied
W1_P3,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,252.324,85.12,337.444,719.276,0.0,337.444,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.319332,0.319332,0.0,587809.144733,3333.333333,0.0,587809.144733,8164.015899,1.0,all_satisfied
W1_P3,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,252.324,85.12,337.444,605.3822,10.6062,326.8378,942.8262,932.22,60.72,420.0,420.0,31.5,0.968569,0.346658,0.350602,0.031431,481411.759613,3333.333333,4008.08298,477403.676633,7577.836137,0.875,all_satisfied
W1_P3,54.0,18,0 1 2 3 4 5 6 7 8 9 12 13 15 16 17 21 22 23,252.324,85.12,337.444,526.3,56.024,281.42,863.744,807.72,60.72,360.0,360.0,27.0,0.833975,0.325814,0.348413,0.166025,402947.202333,3333.333333,21171.4696,381775.732733,7069.920977,0.75,all_satisfied
W1_P3,45.0,15,0 1 2 3 4 5 6 7 8 9 13 15 16 17 23,252.324,85.12,337.444,426.558,80.782,256.662,764.002,683.22,60.72,300.0,300.0,22.5,0.760606,0.335944,0.375665,0.239394,323040.770533,3333.333333,30527.5178,292513.252733,6500.294505,0.625,partly_satisfied
W1_P3,36.0,12,0 1 2 3 4 5 6 7 8 9 15 23,252.324,85.12,337.444,345.8904,124.6144,212.8296,683.3344,558.72,60.72,240.0,240.0,18.0,0.630711,0.311457,0.380924,0.369289,255994.259293,3333.333333,47091.78176,208902.477533,5802.846598,0.5,partly_satisfied
W1_P4,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,252.324,20.48,272.804,783.916,0.0,272.804,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.258161,0.258161,0.0,627301.880733,3333.333333,0.0,627301.880733,8712.526121,1.0,partly_satisfied
W1_P4,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,252.324,20.48,272.804,668.7422,9.3262,263.4778,941.5462,932.22,60.72,420.0,420.0,31.5,0.965814,0.279835,0.282635,0.034186,519877.423613,3333.333333,3524.37098,516353.052633,8196.080201,0.875,partly_satisfied
W1_P4,54.0,18,0 1 2 3 4 5 6 7 8 9 12 13 15 16 17 21 22 23,252.324,20.48,272.804,565.34,30.424,242.38,838.144,807.72,60.72,360.0,360.0,27.0,0.888477,0.289187,0.300079,0.111523,421898.498333,3333.333333,11497.2296,410401.268733,7600.023495,0.75,partly_satisfied
W1_P4,45.0,15,0 1 2 3 4 5 6 7 8 9 15 16 17 22 23,252.324,20.48,272.804,472.8282,62.4122,210.3918,745.6322,683.22,60.72,300.0,300.0,22.5,0.77122,0.282166,0.307942,0.22878,340348.479013,3333.333333,23585.57038,316762.908633,7039.175747,0.625,partly_satisfied
W1_P4,36.0,12,0 1 2 3 4 5 6 7 8 9 15 23,252.324,20.48,272.804,361.2504,75.3344,197.4696,634.0544,558.72,60.72,240.0,240.0,18.0,0.723852,0.31144,0.353432,0.276148,257567.123293,3333.333333,28468.86976,229098.253533,6363.840376,0.5,partly_satisfied
