scenario_id,target_NH3_t_per_day,on_hours,on_hour_list,E_wind_MWh,E_pv_MWh,E_re_MWh,E_buy_MWh,E_sell_MWh,E_self_MWh,E_total_MWh,E_use_MWh,E_load_MWh,E_alk_MWh,E_pem_MWh,E_nh3_MWh,self_use_ratio,green_ratio,green_internal_use_ratio,sell_ratio,daily_cost_yuan,daily_sell_revenue_yuan,daily_net_cost_yuan,unit_cost_yuan_per_t,device_utilization,indicator_class
W1_P1,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,252.324,509.44,761.764,430.28,135.324,626.44,1192.044,1056.72,60.72,480.0,480.0,36.0,0.822354,0.525518,0.592816,0.177646,438817.26,51138.9396,387678.3204,5384.421117,1.0,all_satisfied
W1_P1,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,252.324,509.44,761.764,326.6262,156.1702,605.5938,1088.3902,932.22,60.72,420.0,420.0,31.5,0.794989,0.556412,0.649625,0.205011,340636.45088,59016.71858,281619.7323,4470.154481,0.875,partly_satisfied
W1_P1,54.0,18,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 23,252.324,509.44,761.764,235.0722,189.1162,572.6478,996.8362,807.72,60.72,360.0,360.0,27.0,0.751739,0.574465,0.708968,0.248261,270017.55128,71467.01198,198550.5393,3676.861839,0.75,partly_satisfied
W1_P1,45.0,15,0 1 2 3 4 5 6 7 8 9 10 11 12 14 23,252.324,509.44,761.764,233.2102,311.7542,450.0098,994.9742,683.22,60.72,300.0,300.0,22.5,0.590747,0.452283,0.65866,0.409253,253877.57248,117811.91218,136065.6603,3023.68134,0.625,partly_satisfied
W1_P1,36.0,12,0 1 2 3 4 5 6 7 8 10 14 23,252.324,509.44,761.764,233.2102,436.2542,325.5098,994.9742,558.72,60.72,240.0,240.0,18.0,0.427311,0.327154,0.582599,0.572689,238868.57248,164860.46218,74008.1103,2055.780842,0.5,partly_satisfied
W1_P2,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,252.324,250.88,503.204,560.9662,7.4502,495.7538,1064.1702,1056.72,60.72,480.0,480.0,36.0,0.985194,0.46586,0.469144,0.014806,489320.02788,2815.43058,486504.5973,6757.008296,1.0,all_satisfied
W1_P2,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,252.324,250.88,503.204,448.9924,19.9764,483.2276,952.1964,932.22,60.72,420.0,420.0,31.5,0.960302,0.507487,0.518362,0.039698,384463.25076,7549.08156,376914.1692,5982.76459,0.875,all_satisfied
W1_P2,54.0,18,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 23,252.324,250.88,503.204,342.7184,38.2024,465.0016,845.9224,807.72,60.72,360.0,360.0,27.0,0.924082,0.549698,0.575697,0.075918,304903.42316,14436.68696,290466.7362,5379.013633,0.75,all_satisfied
W1_P2,45.0,15,0 1 2 3 4 5 6 9 11 12 13 14 15 16 23,252.324,250.88,503.204,298.3182,118.3022,384.9018,801.5222,683.22,60.72,300.0,300.0,22.5,0.764902,0.480214,0.563364,0.235098,261218.28268,44706.40138,216511.8813,4811.37514,0.625,partly_satisfied
W1_P2,36.0,12,0 1 2 3 4 5 6 11 12 13 15 23,252.324,250.88,503.204,262.5022,206.9862,296.2178,765.7062,558.72,60.72,240.0,240.0,18.0,0.588663,0.386856,0.530172,0.411337,223202.35428,78220.08498,144982.2693,4027.285258,0.5,partly_satisfied
W1_P3,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,252.324,85.12,337.444,719.276,0.0,337.444,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.319332,0.319332,0.0,584475.8114,0.0,584475.8114,8117.719603,1.0,all_satisfied
W1_P3,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,252.324,85.12,337.444,605.3822,10.6062,326.8378,942.8262,932.22,60.72,420.0,420.0,31.5,0.968569,0.346658,0.350602,0.031431,478078.42628,4008.08298,474070.3433,7524.926084,0.875,all_satisfied
W1_P3,54.0,18,0 1 2 3 4 5 6 7 8 9 12 13 15 16 17 21 22 23,252.324,85.12,337.444,526.3,56.024,281.42,863.744,807.72,60.72,360.0,360.0,27.0,0.833975,0.325814,0.348413,0.166025,399613.869,21171.4696,378442.3994,7008.192581,0.75,all_satisfied
W1_P3,45.0,15,0 1 2 3 4 5 6 7 8 9 13 15 16 17 23,252.324,85.12,337.444,426.558,80.782,256.662,764.002,683.22,60.72,300.0,300.0,22.5,0.760606,0.335944,0.375665,0.239394,319707.4372,30527.5178,289179.9194,6426.220431,0.625,partly_satisfied
W1_P3,36.0,12,0 1 2 3 4 5 6 7 8 9 15 23,252.324,85.12,337.444,345.8904,124.6144,212.8296,683.3344,558.72,60.72,240.0,240.0,18.0,0.630711,0.311457,0.380924,0.369289,252660.92596,47091.78176,205569.1442,5710.254006,0.5,partly_satisfied
W1_P4,72.0,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,252.324,20.48,272.804,783.916,0.0,272.804,1056.72,1056.72,60.72,480.0,480.0,36.0,1.0,0.258161,0.258161,0.0,623968.5474,0.0,623968.5474,8666.229825,1.0,partly_satisfied
W1_P4,63.0,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23,252.324,20.48,272.804,668.7422,9.3262,263.4778,941.5462,932.22,60.72,420.0,420.0,31.5,0.965814,0.279835,0.282635,0.034186,516544.09028,3524.37098,513019.7193,8143.170148,0.875,partly_satisfied
W1_P4,54.0,18,0 1 2 3 4 5 6 7 8 9 12 13 15 16 17 21 22 23,252.324,20.48,272.804,565.34,30.424,242.38,838.144,807.72,60.72,360.0,360.0,27.0,0.888477,0.289187,0.300079,0.111523,418565.165,11497.2296,407067.9354,7538.2951,0.75,partly_satisfied
