scenario_id,target_NH3_t_per_day,hour,P_load_MW,P_wind_MW,P_pv_MW,P_re_MW,P_alk_MW,P_pem_MW,P_nh3_MW,plant_load_ratio,P_buy_MW,P_sell_MW,P_curtail_MW,NH3_t,H2_prod_kg,H2_cons_kg,alk_load_ratio,pem_load_ratio,nh3_load_ratio,cost_yuan,sell_revenue_yuan,net_cost_yuan
W1_P1,72.0,0,1.3698,9.776,0.0,9.776,20.0,20.0,1.5,1.0,33.0938,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,17800.71712,0.0,17800.71712
W1_P1,72.0,1,1.0998,10.904,0.0,10.904,20.0,20.0,1.5,1.0,31.6958,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,17491.24192,0.0,17491.24192
W1_P1,72.0,2,0.7998,15.152,0.0,15.152,20.0,20.0,1.5,1.0,27.1478,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16571.20672,0.0,16571.20672
W1_P1,72.0,3,0.99,13.312,0.0,13.312,20.0,20.0,1.5,1.0,29.178,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16990.3472,0.0,16990.3472
W1_P1,72.0,4,1.1802,15.072,0.0,15.072,20.0,20.0,1.5,1.0,27.6082,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16716.84768,0.0,16716.84768
W1_P1,72.0,5,1.6302,18.724,0.0,18.724,20.0,20.0,1.5,1.0,24.4062,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16168.28288,0.0,16168.28288
W1_P1,72.0,6,2.5002,9.628,14.08,23.708,20.0,20.0,1.5,1.0,20.2922,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,15084.84928,0.0,15084.84928
W1_P1,72.0,7,3.3702,22.804,25.6,48.404,20.0,20.0,1.5,1.0,0.0,3.5338,0.0,3.0,600.0,600.0,1.0,1.0,1.0,11495.6,1335.42302,10160.17698
W1_P1,72.0,8,4.0098,17.852,37.12,54.972,20.0,20.0,1.5,1.0,0.0,9.4622,0.0,3.0,600.0,600.0,1.0,1.0,1.0,12135.2,3575.76538,8559.43462
W1_P1,72.0,9,4.2,14.328,46.08,60.408,20.0,20.0,1.5,1.0,0.0,14.708,0.0,3.0,600.0,600.0,1.0,1.0,1.0,12681.8,5558.1532,7123.6468
W1_P1,72.0,10,4.1202,11.904,52.48,64.384,20.0,20.0,1.5,1.0,0.0,18.7638,0.0,3.0,600.0,600.0,1.0,1.0,1.0,13086.2,7090.84002,5995.35998
W1_P1,72.0,11,3.9,7.736,55.04,62.776,20.0,20.0,1.5,1.0,0.0,17.376,0.0,3.0,600.0,600.0,1.0,1.0,1.0,12768.2,6566.3904,6201.8096
