target_type,scale_k,wind_capacity_MW,pv_capacity_MW,annual_NH3_t,annual_load_shed_MWh,annual_curtail_MWh,annual_curtailment_ratio,annual_unit_cost_yuan_per_t,annual_plant_utilization,feasible
basic_autonomy,0.5,20.0,32.0,4095.020386,271.455,7440.033,0.08684,4813.522068,0.157987,0
basic_autonomy,0.52,20.8,33.28,4348.242043,245.772,7338.4728,0.08236,4737.789155,0.167756,0
basic_autonomy,0.54,21.6,34.56,4623.071552,221.58,6939.495,0.074998,4656.357022,0.178359,0
basic_autonomy,0.56,22.4,35.84,4850.583224,198.636,7196.3286,0.074996,4612.513169,0.187137,0
basic_autonomy,0.58,23.2,37.12,5126.14813,177.8838,6790.6176,0.068327,4545.366715,0.197768,0
basic_autonomy,0.6,24.0,38.4,5405.236699,158.931,6337.962,0.061647,4483.234467,0.208535,0
basic_autonomy,0.62,24.8,39.68,5700.411889,141.5946,5664.3912,0.053318,4419.415906,0.219923,0
basic_autonomy,0.64,25.6,40.96,5951.792776,125.0778,5597.4612,0.051042,4381.705674,0.229622,0
basic_autonomy,0.66,26.4,42.24,6220.510612,109.9782,5292.1206,0.046795,4339.584211,0.239989,0
basic_autonomy,0.68,27.2,43.52,6492.445243,94.8786,4942.281,0.042416,4299.646526,0.25048,0
basic_autonomy,0.7,28.0,44.8,6769.816265,81.402,4518.861,0.037674,4260.835833,0.261181,0
basic_autonomy,0.72,28.8,46.08,7012.165663,69.786,4581.7674,0.037138,4237.853018,0.270531,0
basic_autonomy,0.74,29.6,47.36,7240.220545,58.8756,4843.1202,0.038195,4221.437791,0.279329,0
basic_autonomy,0.76,30.4,48.64,7456.714525,49.8084,5266.242,0.040439,4209.960565,0.287682,0
basic_autonomy,0.78,31.2,49.92,7658.800872,41.3694,5889.2976,0.044064,4203.893139,0.295478,0
basic_autonomy,0.8,32.0,51.2,7856.367614,34.047,6575.991,0.047972,4199.593401,0.303101,0
basic_autonomy,0.82,32.8,52.48,8043.546014,29.3742,7409.0394,0.05273,4198.769347,0.310322,0
basic_autonomy,0.84,33.6,53.76,8252.507624,24.7014,7940.7534,0.055169,4191.303785,0.318384,0
basic_autonomy,0.86,34.4,55.04,8447.09348,21.1308,8672.4342,0.058851,4188.489751,0.325891,0
basic_autonomy,0.88,35.2,56.32,8656.065542,19.0344,9206.58,0.061056,4181.617354,0.333953,0
basic_autonomy,0.9,36.0,57.6,8860.501518,17.244,9803.781,0.063572,4176.352609,0.34184,0
basic_autonomy,0.92,36.8,58.88,9044.437272,15.4536,10684.5684,0.067777,4177.000149,0.348937,0
basic_autonomy,0.94,37.6,60.16,9274.842043,13.6632,10922.5344,0.067812,4165.046444,0.357826,0
basic_autonomy,0.96,38.4,61.44,9445.718559,11.8728,11983.9746,0.072852,4169.339408,0.364418,0
basic_autonomy,0.98,39.2,62.72,9611.917157,10.0824,13110.126,0.078072,4174.699335,0.37083,0
basic_autonomy,1.0,40.0,64.0,9781.557398,8.292,14188.668,0.082805,4178.993136,0.377375,0
basic_autonomy,1.02,40.8,65.28,9943.96719,6.5016,15367.2312,0.087924,4184.96959,0.383641,0
basic_autonomy,1.04,41.6,66.56,10127.719214,4.7112,16250.5602,0.09119,4185.437037,0.39073,0
basic_autonomy,1.06,42.4,67.84,10291.77039,2.9208,17406.4176,0.095833,4190.708287,0.397059,0
basic_autonomy,1.08,43.2,69.12,10449.618593,1.1304,18648.0828,0.100768,4197.314853,0.403149,0
basic_autonomy,1.1,44.0,70.4,10633.783663,0.0,19526.358,0.103596,4197.448469,0.410254,1
basic_autonomy,1.092627,43.705089,69.928143,10553.508045,1e-05,19373.504751,0.103478,4200.368571,0.407157,1
production_autonomy,0.5,20.0,32.0,4095.020386,271.455,7440.033,0.08684,4813.522068,0.157987,0
production_autonomy,0.52,20.8,33.28,4348.242043,245.772,7338.4728,0.08236,4737.789155,0.167756,0
production_autonomy,0.54,21.6,34.56,4623.071552,221.58,6939.495,0.074998,4656.357022,0.178359,0
production_autonomy,0.56,22.4,35.84,4850.583224,198.636,7196.3286,0.074996,4612.513169,0.187137,0
production_autonomy,0.58,23.2,37.12,5126.14813,177.8838,6790.6176,0.068327,4545.366715,0.197768,0
production_autonomy,0.6,24.0,38.4,5405.236699,158.931,6337.962,0.061647,4483.234467,0.208535,0
production_autonomy,0.62,24.8,39.68,5700.411889,141.5946,5664.3912,0.053318,4419.415906,0.219923,0
production_autonomy,0.64,25.6,40.96,5951.792776,125.0778,5597.4612,0.051042,4381.705674,0.229622,0
production_autonomy,0.66,26.4,42.24,6220.510612,109.9782,5292.1206,0.046795,4339.584211,0.239989,0
production_autonomy,0.68,27.2,43.52,6492.445243,94.8786,4942.281,0.042416,4299.646526,0.25048,0
production_autonomy,0.7,28.0,44.8,6769.816265,81.402,4518.861,0.037674,4260.835833,0.261181,0
production_autonomy,0.72,28.8,46.08,7012.165663,69.786,4581.7674,0.037138,4237.853018,0.270531,0
production_autonomy,0.74,29.6,47.36,7240.220545,58.8756,4843.1202,0.038195,4221.437791,0.279329,0
production_autonomy,0.76,30.4,48.64,7456.714525,49.8084,5266.242,0.040439,4209.960565,0.287682,0
production_autonomy,0.78,31.2,49.92,7658.800872,41.3694,5889.2976,0.044064,4203.893139,0.295478,0
