target_type,wind_capacity_MW,pv_capacity_MW,total_capacity_MW,annual_NH3_t,annual_load_shed_MWh,annual_curtail_MWh,annual_curtailment_ratio,annual_unit_cost_yuan_per_t,annual_plant_utilization,feasible,objective_value,min_daily_NH3_t,max_daily_load_shed_MWh
basic_autonomy,40.0,64.0,104.0,9781.557398,8.292,14188.668,0.082805,4178.993136,0.377375,0,104.0,,
production_autonomy,40.0,64.0,104.0,9781.557398,8.292,14188.668,0.082805,4178.993136,0.377375,0,104.0,,
full_production_autonomy,40.0,64.0,104.0,9781.557398,8.292,14188.668,0.082805,4178.993136,0.377375,0,104.0,,
basic_autonomy,40.0,69.0,109.0,9974.666386,8.292,17605.827,0.099222,4203.621557,0.384825,0,109.0,,
production_autonomy,40.0,69.0,109.0,9974.666386,8.292,17605.827,0.099222,4203.621557,0.384825,0,109.0,,
full_production_autonomy,40.0,69.0,109.0,9974.666386,8.292,17605.827,0.099222,4203.621557,0.384825,0,109.0,,
basic_autonomy,40.0,74.0,114.0,10149.484988,8.292,21276.003,0.115928,4231.927221,0.39157,0,114.0,,
production_autonomy,40.0,74.0,114.0,10149.484988,8.292,21276.003,0.115928,4231.927221,0.39157,0,114.0,,
full_production_autonomy,40.0,74.0,114.0,10149.484988,8.292,21276.003,0.115928,4231.927221,0.39157,0,114.0,,
basic_autonomy,40.0,79.0,119.0,10301.275301,8.292,25264.737,0.133241,4265.067786,0.397426,0,119.0,,
production_autonomy,40.0,79.0,119.0,10301.275301,8.292,25264.737,0.133241,4265.067786,0.397426,0,119.0,,
full_production_autonomy,40.0,79.0,119.0,10301.275301,8.292,25264.737,0.133241,4265.067786,0.397426,0,119.0,,
basic_autonomy,40.0,84.0,124.0,10439.079614,8.292,29446.944,0.150466,4300.768915,0.402742,0,124.0,,
production_autonomy,40.0,84.0,124.0,10439.079614,8.292,29446.944,0.150466,4300.768915,0.402742,0,124.0,,
full_production_autonomy,40.0,84.0,124.0,10439.079614,8.292,29446.944,0.150466,4300.768915,0.402742,0,124.0,,
basic_autonomy,40.0,89.0,129.0,10565.36653,8.292,33788.475,0.167441,4338.448028,0.407614,0,129.0,,
production_autonomy,40.0,89.0,129.0,10565.36653,8.292,33788.475,0.167441,4338.448028,0.407614,0,129.0,,
full_production_autonomy,40.0,89.0,129.0,10565.36653,8.292,33788.475,0.167441,4338.448028,0.407614,0,129.0,,
basic_autonomy,40.0,94.0,134.0,10683.195831,8.292,38247.003,0.183984,4377.380544,0.41216,0,134.0,,
production_autonomy,40.0,94.0,134.0,10683.195831,8.292,38247.003,0.183984,4377.380544,0.41216,0,134.0,,
full_production_autonomy,40.0,94.0,134.0,10683.195831,8.292,38247.003,0.183984,4377.380544,0.41216,0,134.0,,
basic_autonomy,40.0,99.0,139.0,10787.944771,8.292,42886.476,0.200432,4418.795323,0.416202,0,139.0,,
production_autonomy,40.0,99.0,139.0,10787.944771,8.292,42886.476,0.200432,4418.795323,0.416202,0,139.0,,
full_production_autonomy,40.0,99.0,139.0,10787.944771,8.292,42886.476,0.200432,4418.795323,0.416202,0,139.0,,
basic_autonomy,40.0,104.0,144.0,10888.337277,8.292,47586.213,0.216243,4460.530556,0.420075,0,144.0,,
production_autonomy,40.0,104.0,144.0,10888.337277,8.292,47586.213,0.216243,4460.530556,0.420075,0,144.0,,
full_production_autonomy,40.0,104.0,144.0,10888.337277,8.292,47586.213,0.216243,4460.530556,0.420075,0,144.0,,
basic_autonomy,40.0,109.0,149.0,10978.582337,8.292,52426.323,0.231823,4504.122508,0.423556,0,149.0,,
production_autonomy,40.0,109.0,149.0,10978.582337,8.292,52426.323,0.231823,4504.122508,0.423556,0,149.0,,
full_production_autonomy,40.0,109.0,149.0,10978.582337,8.292,52426.323,0.231823,4504.122508,0.423556,0,149.0,,
basic_autonomy,40.0,114.0,154.0,11067.879687,8.292,57279.543,0.246644,4547.250191,0.427002,0,154.0,,
production_autonomy,40.0,114.0,154.0,11067.879687,8.292,57279.543,0.246644,4547.250191,0.427002,0,154.0,,
full_production_autonomy,40.0,114.0,154.0,11067.879687,8.292,57279.543,0.246644,4547.250191,0.427002,0,154.0,,
basic_autonomy,40.0,119.0,159.0,11155.613639,8.292,62154.39,0.260797,4590.097028,0.430386,0,159.0,,
production_autonomy,40.0,119.0,159.0,11155.613639,8.292,62154.39,0.260797,4590.097028,0.430386,0,159.0,,
full_production_autonomy,40.0,119.0,159.0,11155.613639,8.292,62154.39,0.260797,4590.097028,0.430386,0,159.0,,
basic_autonomy,40.0,124.0,164.0,11239.452217,8.292,67083.123,0.274466,4633.302656,0.433621,0,164.0,,
production_autonomy,40.0,124.0,164.0,11239.452217,8.292,67083.123,0.274466,4633.302656,0.433621,0,164.0,,
full_production_autonomy,40.0,124.0,164.0,11239.452217,8.292,67083.123,0.274466,4633.302656,0.433621,0,164.0,,
basic_autonomy,40.0,129.0,169.0,11322.451735,8.292,72023.463,0.287517,4676.091414,0.436823,0,169.0,,
production_autonomy,40.0,129.0,169.0,11322.451735,8.292,72023.463,0.287517,4676.091414,0.436823,0,169.0,,
full_production_autonomy,40.0,129.0,169.0,11322.451735,8.292,72023.463,0.287517,4676.091414,0.436823,0,169.0,,
basic_autonomy,40.0,134.0,174.0,11407.606699,8.292,76933.986,0.299832,4717.681005,0.440108,0,174.0,,
production_autonomy,40.0,134.0,174.0,11407.606699,8.292,76933.986,0.299832,4717.681005,0.440108,0,174.0,,
full_production_autonomy,40.0,134.0,174.0,11407.606699,8.292,76933.986,0.299832,4717.681005,0.440108,0,174.0,,
basic_autonomy,40.0,139.0,179.0,11485.479253,8.292,81945.249,0.31196,4760.614137,0.443113,0,179.0,,
production_autonomy,40.0,139.0,179.0,11485.479253,8.292,81945.249,0.31196,4760.614137,0.443113,0,179.0,,
full_production_autonomy,40.0,139.0,179.0,11485.479253,8.292,81945.249,0.31196,4760.614137,0.443113,0,179.0,,
basic_autonomy,40.0,144.0,184.0,11560.296145,8.292,86998.782,0.323696,4803.797744,0.445999,0,184.0,,
production_autonomy,40.0,144.0,184.0,11560.296145,8.292,86998.782,0.323696,4803.797744,0.445999,0,184.0,,
full_production_autonomy,40.0,144.0,184.0,11560.296145,8.292,86998.782,0.323696,4803.797744,0.445999,0,184.0,,
basic_autonomy,40.0,149.0,189.0,11632.469422,8.292,92088.885,0.335045,4847.148397,0.448784,0,189.0,,
production_autonomy,40.0,149.0,189.0,11632.469422,8.292,92088.885,0.335045,4847.148397,0.448784,0,189.0,,
full_production_autonomy,40.0,149.0,189.0,11632.469422,8.292,92088.885,0.335045,4847.148397,0.448784,0,189.0,,
basic_autonomy,40.0,154.0,194.0,11701.910169,8.292,97216.788,0.346036,4890.716874,0.451463,0,194.0,,
production_autonomy,40.0,154.0,194.0,11701.910169,8.292,97216.788,0.346036,4890.716874,0.451463,0,194.0,,
full_production_autonomy,40.0,154.0,194.0,11701.910169,8.292,97216.788,0.346036,4890.716874,0.451463,0,194.0,,
basic_autonomy,40.0,159.0,199.0,11767.660265,8.292,102395.745,0.356739,4934.795657,0.453999,0,199.0,,
production_autonomy,40.0,159.0,199.0,11767.660265,8.292,102395.745,0.356739,4934.795657,0.453999,0,199.0,,
