scenario_id,NH3_t_per_day,run_hours,avg_alpha,E_wind_MWh,E_pv_MWh,E_re_MWh,E_use_MWh,E_load_MWh,E_charge_MWh,E_discharge_MWh,E_curtail_MWh,E_unserved_MWh,storage_capacity_MWh,daily_cost_yuan,unit_cost_yuan_per_t,capacity_utilization,renewable_utilization
W1_P1,48.704092,24,0.676446,252.324,509.44,761.764,734.459948,60.72,135.324,108.019946,0.0,0.0,154.9716,209589.106055,4303.316158,0.676446,1.0
W1_P2,31.85441,23,0.442422,252.324,250.88,503.204,501.372708,60.72,9.162,7.330711,0.0,0.0,154.9716,149455.364736,4691.826492,0.442422,1.0
W1_P3,19.939725,22,0.276941,252.324,85.12,337.444,336.552884,60.72,4.343118,3.452,0.0,0.0,154.9716,109655.652114,5499.356291,0.276941,1.0
W1_P4,15.247887,21,0.211776,252.324,20.48,272.804,271.649106,60.72,5.6656,4.51071,0.0,0.0,154.9716,94085.015823,6170.364184,0.211776,1.0
W2_P1,41.947694,23,0.582607,149.464,509.44,658.904,640.996447,60.72,89.612,71.704449,0.0,0.0,154.9716,182529.53235,4351.360348,0.582607,1.0
W2_P2,24.505594,20,0.340355,149.464,250.88,400.344,399.714057,60.72,3.2242,2.594253,0.0,0.0,154.9716,121723.620135,4967.176888,0.340355,1.0
W2_P3,12.522664,20,0.173926,149.464,85.12,234.584,233.950201,60.72,3.2242,2.590402,0.0,0.0,154.9716,81848.850406,6536.057376,0.173926,1.0
W2_P4,7.788143,16,0.108169,149.464,20.48,169.944,168.45599,60.72,7.5102,6.022188,0.0,0.0,154.9716,66230.764594,8504.050913,0.108169,1.0
W3_P1,50.219038,24,0.697487,271.4,509.44,780.84,755.416686,60.72,126.3682,100.944888,0.0,0.0,154.9716,214906.17909,4279.37666,0.697487,1.0
W3_P2,33.314072,24,0.462695,271.4,250.88,522.28,521.564683,60.72,3.7264,3.011088,0.0,0.0,154.9716,154707.7963,4643.91733,0.462695,1.0
W3_P3,21.383133,24,0.296988,271.4,85.12,356.52,356.519995,60.72,0.0,0.0,0.0,0.0,154.9716,114889.652376,5372.910152,0.296988,1.0
W3_P4,16.71036,24,0.232088,271.4,20.48,291.88,291.879994,60.72,0.0,0.0,0.0,0.0,154.9716,99340.227798,5944.828705,0.232088,1.0
W4_P1,56.450623,24,0.784036,367.484,509.44,876.924,841.620278,60.72,173.706737,138.403014,0.0,0.0,154.9716,240085.566567,4253.018901,0.784036,1.0
W4_P2,40.174467,24,0.557979,367.484,250.88,618.364,616.466784,60.72,9.7402,7.84298,0.0,0.0,154.9716,180609.562681,4495.630587,0.557979,1.0
W4_P3,28.319297,24,0.393323,367.484,85.12,452.604,452.47026,60.72,0.697939,0.5642,0.0,0.0,154.9716,140875.102941,4974.526837,0.393324,1.0
W4_P4,23.646524,24,0.328424,367.484,20.48,387.964,387.830268,60.72,0.697939,0.5642,0.0,0.0,154.9716,125325.678362,5299.961989,0.328424,1.0
W5_P1,52.521958,24,0.729472,309.98,509.44,819.42,787.273757,60.72,158.6442,126.497954,0.0,0.0,154.9716,224789.213444,4279.909242,0.729472,1.0
W5_P2,36.017281,24,0.50024,309.98,250.88,560.86,558.959057,60.72,9.8504,7.949458,0.0,0.0,154.9716,165052.229035,4582.584372,0.50024,1.0
W5_P3,24.172047,24,0.335723,309.98,85.12,395.1,395.100001,60.72,0.0,0.0,0.0,0.0,154.9716,125327.634062,5184.816746,0.335723,1.0
W5_P4,19.499276,24,0.270823,309.98,20.48,330.46,330.460003,60.72,0.0,0.0,0.0,0.0,154.9716,109778.209485,5629.860795,0.270823,1.0
W6_P1,46.038472,24,0.639423,206.32,509.44,715.76,697.585522,60.72,90.8262,72.651723,0.0,0.0,154.9716,197889.456642,4298.349794,0.639423,1.0
W6_P2,28.661207,24,0.398072,206.32,250.88,457.2,457.199998,60.72,0.0,0.0,0.0,0.0,154.9716,137156.25093,4785.431783,0.398072,1.0
W6_P3,16.678556,24,0.231647,206.32,85.12,291.44,291.439999,60.72,0.0,0.0,0.0,0.0,154.9716,97281.983942,5832.75818,0.231647,1.0
W6_P4,11.939123,22,0.165821,206.32,20.48,226.8,225.87783,60.72,4.6678,3.745629,0.0,0.0,154.9716,81658.844086,6839.601542,0.165821,1.0
